Year,County,County_Code,LF_Unreported_Coefficient,SF_Unreported_Coefficient
2012,SHENANDOAH,171,2.890,0.710
2012,SOUTHAMPTON,175,1.145,0.019
2012,SPOTSYLVANIA,177,-0.117,0.884
2012,SURRY,181,7.774,0.486
2012,SUSSEX,183,2.918,0.073
2012,WESTMORELAND,193,0.259,0.002
2012,SUFFOLK CITY,800,-0.749,0.044
2017,ACCOMACK,1,-0.419,0.007
2017,AMELIA,7,3.451,0.455
2017,AUGUSTA,15,2.435,0.291
2017,BEDFORD,19,-1.000,0.757
2017,CAMPBELL,31,-0.321,0.100
2017,CAROLINE,33,0.129,0.006
2017,CHARLES CITY,36,-0.288,0.008
2017,CHARLOTTE,37,6.326,1.565
2017,CLARKE,43,0.661,0.518
2017,CULPEPER,47,0.485,0.554
2017,DINWIDDIE,53,8.816,0.171
2017,ESSEX,57,-1.000,0.002
2017,FLOYD,63,-0.459,1.099
2017,GREENSVILLE,81,-1.000,0.019
2017,HANOVER,85,0.274,0.067
2017,HENRICO,87,-1.000,0.061
2017,ISLE OF WIGHT,93,0.518,0.063
2017,KING AND QUEEN,97,-0.365,0.020
2017,KING WILLIAM,101,0.266,0.013
2017,MIDDLESEX,119,1.193,0.234
2017,MONTGOMERY,121,0.786,0.224
2017,NELSON,125,-0.450,0.038
2017,NEW KENT,127,1.272,0.162
2017,NORTHAMPTON,131,1.601,0.004
2017,PAGE,139,-0.061,0.213
2017,POWHATAN,145,1.677,0.912
2017,PRINCE WILLIAM,153,12.912,0.521
2017,ROANOKE,161,-1.000,22.280
2017,ROCKINGHAM,165,4.118,0.275
2017,SHENANDOAH,171,4.764,0.719
2017,SOUTHAMPTON,175,0.376,0.012
2017,SPOTSYLVANIA,177,92.082,36.438
2017,SURRY,181,2.828,0.042
2017,SUSSEX,183,-0.478,0.011
2017,WESTMORELAND,193,-0.541,0.066
2017,CHESAPEAKE CITY,550,0.629,6.159
2017,SUFFOLK CITY,800,-0.416,0.067
