Year,County,County_Code,LF_Unreported_Coefficient,SF_Unreported_Coefficient
2012,BATH,17,0.000,0.001
2012,BOTETOURT,23,0.011,0.01
2012,BRUNSWICK,25,0.518,0.017
2012,BUCKINGHAM,29,0.000,0.032
2012,CARROLL,35,1.480,0.026
2012,CRAIG,45,0.000,0.003
2012,CUMBERLAND,49,0.000,2.096
2012,DICKENSON,51,0.000,0.001
2012,FAIRFAX,59,0.000,0.001
2012,FAUQUIER,61,0.046,0.05
2012,FLUVANNA,65,0.060,0.044
2012,FRANKLIN,67,0.134,0.018
2012,FREDERICK,69,0.011,0.012
2012,GILES,71,0.000,0
2012,GLOUCESTER,73,0.000,0.023
2012,GOOCHLAND,75,0.000,0.009
2012,GRAYSON,77,0.000,0.336
2012,GREENE,79,0.009,0.031
2012,HENRY,89,0.022,0.009
2012,HIGHLAND,91,0.001,0.001
2012,JAMES CITY,95,0.002,0.001
2012,LEE,105,0.000,0.015
2012,LOUISA,109,0.190,0.088
2012,MADISON,113,0.150,0.113
2012,MATHEWS,115,0.000,0.445
2012,MECKLENBURG,117,0.558,0.014
2012,NORTHUMBERLAND,133,0.063,0.004
2012,NOTTOWAY,135,0.014,0.039
2012,PATRICK,141,0.060,0.033
2012,PRINCE GEORGE,149,0.000,0.018
2012,PULASKI,155,0.000,0.003
2012,RAPPAHANNOCK,157,0.462,1.689
2012,RICHMOND,159,0.293,0.059
2012,ROANOKE,161,0.002,0.003
2012,ROCKBRIDGE,163,0.019,0.014
2012,RUSSELL,167,0.000,0.009
2012,SCOTT,169,0.014,0.01
2012,SMYTH,173,0.000,0.002
2012,STAFFORD,179,0.000,0.002
2012,TAZEWELL,185,0.000,0.006
2012,WARREN,187,0.000,0.001
2012,WASHINGTON,191,0.008,0.005
2012,WISE,195,0.000,0
2012,WYTHE,197,0.002,0.005
2012,YORK,199,0.000,0
2012,CHESAPEAKE CITY,550,0.016,0.005
2012,VIRGINIA BEACH CITY,810,0.004,0.001
2017,ALBEMARLE,3,0.040,0.007
2017,AMHERST,9,0.006,0.001
2017,APPOMATTOX,11,0.000,0.968
2017,BLAND,21,3.145,0.016
2017,BOTETOURT,23,0.000,0.005
2017,BRUNSWICK,25,0.664,0.002
2017,BUCKINGHAM,29,0.109,0.045
2017,CARROLL,35,0.775,0.021
2017,CHESTERFIELD,41,0.000,0
2017,CRAIG,45,0.022,0.004
2017,CUMBERLAND,49,8.630,1.377
2017,FAIRFAX,59,0.000,0
2017,FAUQUIER,61,0.046,0.043
2017,FLUVANNA,65,0.060,0.018
2017,FRANKLIN,67,0.074,0.024
2017,FREDERICK,69,0.003,0.002
2017,GILES,71,0.000,0
2017,GLOUCESTER,73,0.000,0.006
2017,GOOCHLAND,75,0.035,0.008
2017,GRAYSON,77,0.434,0.066
2017,GREENE,79,0.000,0.022
2017,HALIFAX,83,0.297,0.015
2017,HENRY,89,0.006,0.003
2017,JAMES CITY,95,0.001,0.002
2017,LANCASTER,103,0.000,0.012
2017,LEE,105,0.000,0.006
2017,LOUDOUN,107,0.008,0.013
2017,LOUISA,109,0.132,0.095
2017,LUNENBURG,111,1.582,0.017
2017,MADISON,113,0.045,0.23
2017,MATHEWS,115,0.000,0.501
2017,MECKLENBURG,117,1.115,0.028
2017,NOTTOWAY,135,0.000,0.028
2017,ORANGE,137,0.067,0.015
2017,PATRICK,141,0.120,0.068
2017,PITTSYLVANIA,143,0.313,0.017
2017,PRINCE EDWARD,147,0.000,0.009
2017,PULASKI,155,0.000,0.005
2017,RAPPAHANNOCK,157,0.000,1.173
2017,RICHMOND,159,0.029,0.036
2017,ROCKBRIDGE,163,0.017,0.015
2017,SCOTT,169,0.000,0.006
2017,SMYTH,173,0.000,0.003
2017,STAFFORD,179,0.000,0.001
2017,WARREN,187,0.000,0.001
2017,WASHINGTON,191,0.004,0.003
2017,WISE,195,0.001,0.001
2017,WYTHE,197,0.000,0.002
2017,YORK,199,0.000,0
2017,VIRGINIA BEACH CITY,810,0.002,0.001
