County,c2002,c2007,c2012,c2017,Tau_MK,p_MK,Monotonic
NELSON,0.330683694,-0.108670001,-0.014744893,0.042125182,0,1,N
PAGE,0.104917656,0.1856241,0.690718685,0.03379049,0,1,N
PITTSYLVANIA,1.627432959,2.164900694,2.662002327,0.724486092,0,1,N
ROANOKE,-0.002060299,0.00511595,0.004919093,-0.000179344,0,1,N
ROCKINGHAM,0.247743444,0.212409722,0.199788904,0.277753916,0,1,N
SOUTHAMPTON,0.188271829,0.27166538,0.753306057,0.173495241,0,1,N
CRAIG,0.062983451,0,0,0.042526724,-0.183,1,N
GREENE,0,0.215914079,0.022097387,0,-0.183,1,N
ACCOMACK,0.40719831,0.51568388,-0.191529957,0.198638668,-0.333,0.734,N
AMELIA,10.36127147,17.36107391,0.960596361,1.376102702,-0.333,0.734,N
BUCKINGHAM,0.608337689,0.041976515,0,0.211421027,-0.333,0.734,N
CARROLL,2.198263077,1.876908468,2.995554225,1.638221802,-0.333,0.734,N
CHARLES CITY,1.489065784,7.476421932,0.689027626,0.690653688,-0.333,0.734,N
CHESAPEAKE CITY,0.039175003,0.019730304,0.039687431,0.002327077,-0.333,0.734,N
FLOYD,5.831828155,0,0.381178928,0.021150115,-0.333,0.734,N
GRAYSON,4.061240815,0.638510883,0,0.935986701,-0.333,0.734,N
JAMES CITY,0.010312042,0.001143717,0.004424192,0.00212239,-0.333,0.734,N
MONTGOMERY,0.016982907,0.0183477,0.010811865,0.011474013,-0.333,0.734,N
PATRICK,0.447827107,0.738869378,0.135707802,0.277947845,-0.333,0.734,N
POWHATAN,3.75372156,0.221236731,0.93139599,0.284748815,-0.333,0.734,N
PRINCE WILLIAM,0.032590264,0.01242912,0.020123742,0.01706967,-0.333,0.734,N
ROCKBRIDGE,0.298766599,0.031732101,0.044325629,0.034022945,-0.333,0.734,N
SHENANDOAH,0.289187773,0.146505951,0.129402665,0.166084759,-0.333,0.734,N
SPOTSYLVANIA,0.033824991,0.002574726,0.001748758,0.007869069,-0.333,0.734,N
SUFFOLK CITY,0.009933182,0.002094942,-0.000132849,0.002656136,-0.333,0.734,N
SURRY,5.490310042,4.647024075,6.28546181,3.125510955,-0.333,0.734,N
VIRGINIA BEACH CITY,0.021399891,0.005535031,0.008951909,0.008414047,-0.333,0.734,N
WESTMORELAND,0.6848244,0.143151213,0.715546052,0.07918981,-0.333,0.734,N
WISE,0.003697093,0.031578019,0,0.00232922,-0.333,0.734,N
APPOMATTOX,3.346086,0,0.29787234,0,-0.548,0.47,N
HENRICO,0,0,-0.010435922,-0.010331315,-0.548,0.47,N
ALBEMARLE,0.176750978,0.115741308,0.173095481,0.078642748,-0.667,0.308,N
AUGUSTA,0.352716932,0.322364418,0.255039084,0.303619132,-0.667,0.308,N
CHARLOTTE,5.616714574,2.621847175,4.065162483,2.206397337,-0.667,0.308,N
CHESTERFIELD,0.008683113,0.001112517,0.000183323,0.00061708,-0.667,0.308,N
CLARKE,0.31710711,0.895295507,0.299060863,0.17031376,-0.667,0.308,N
FAUQUIER,0.424963067,0.358714616,0.09194638,0.100377819,-0.667,0.308,N
HALIFAX,1.74094652,1.176221301,1.507959721,0.671115843,-0.667,0.308,N
HENRY,0.117655548,0.259521242,0.043970089,0.01243323,-0.667,0.308,N
KING WILLIAM,0.184039827,0.107413523,0.033867703,0.0714347,-0.667,0.308,N
MADISON,3.514593556,0.143157615,0.368872638,0.098097369,-0.667,0.308,N
MIDDLESEX,3.021653879,1.013845526,0.996218787,1.002536381,-0.667,0.308,N
NORTHAMPTON,4.794309715,3.588351282,1.765418921,2.750609931,-0.667,0.308,N
ORANGE,1.472530484,0.340598082,0.364188864,0.140929036,-0.667,0.308,N
PRINCE EDWARD,0.617155272,1.173131133,0.125813428,0,-0.667,0.308,N
